Mes;Clasificación;Stock_Actual;Proy_Mensual
feb-26;BIMBO;15.21962061;11.44910236
feb-26;Bond;0.469721139;0.0
feb-26;C10-25H;0.424224133;0.0
feb-26;C10-30H;0.0;0.0
feb-26;C12-23.5;0.009275291;0.0
feb-26;C12-25;104.3559773;37.15676574
feb-26;C12-25.75;18.91560019;0.0
feb-26;C12-25H;2.763829721;0.0
feb-26;C12-27;0.0;0.0
feb-26;C12-29;0.0;0.0
feb-26;C12-30;0.0;0.190819966
feb-26;C12-30H;0.0;0.0
feb-26;C12-31;1.90143162;0.0
feb-26;C12-35.3;0.3112452;0.0
feb-26;C13.6-25;116.2863975;0.0
feb-26;C13.6-30;33.16820265;0.0
feb-26;C14-22;48.67234822;0.0
feb-26;C14-24;0.0;0.0
feb-26;C14-25;16.06424357;17.25312445
feb-26;C14-25.5;9.6754968;0.0
feb-26;C14-25H;0.0073533;0.0
feb-26;C14-26;0.0;0.0
feb-26;C14-29;53.62834838;1.18339302
feb-26;C14-30;0.0;0.0
feb-26;C14-30H;0.064567613;0.0
feb-26;C14-37;0.0;0.0
feb-26;C16.3-25;110.5228803;0.0
feb-26;C16.3-27;48.75041175;0.0
feb-26;C16.3-28.5;19.86790604;0.0
feb-26;C16.3-29;22.948572;0.0
feb-26;C16.3-35.5;6.64773117;0.0
feb-26;C16-22;0.43469595;0.0
feb-26;C16-25;53.0923754;25.3168882
feb-26;C16-25H;0.0;0.0
feb-26;C16-27;14.5884787;0.0
feb-26;C16-29;64.24986287;1.189913471
feb-26;C16-30;0.0;0.0
feb-26;C16-30H;0.0;0.0
feb-26;C16-35.5;0.4347189;0.0
feb-26;C16-36;0.0;0.0
feb-26;C16-39;0.592758648;0.0
feb-26;C18-23;48.39004728;0.0
feb-26;C18-25;6.929824215;31.05568212
feb-26;C18-25-COSC;20.9816827;7.681554289
feb-26;C18-25H;0.0;0.0
feb-26;C18-29;0.0;0.910616696
feb-26;C18-29-COSC;29.5534969;0.0
feb-26;C18-30;0.0;0.0
feb-26;C18-34;0.0;0.0
feb-26;C19-24;13.55452306;0.0
feb-26;C19-25;12.33398283;1.784498432
feb-26;C19-29;0.0;3.27071007
feb-26;C19-34;0.21167664;0.0
feb-26;C19-35;0.0;0.0
feb-26;C20-25;5.143444834;1.779023017
feb-26;C20-29;7.898359235;0.0
feb-26;C20-30;0.343741248;0.0
feb-26;C21;0.0624078;0.0
feb-26;C22-25;1.98467199;2.83910913
feb-26;C22-34;0.0;0.0
feb-26;C24-23;0.552902;0.0
feb-26;C8-25H;0.014008037;0.0
feb-26;CMPC GC1;1.64574855;0.0
feb-26;CMPC RC;43.2065066;0.0
feb-26;COLGATE;0.632170256;0.0
feb-26;COLGATE-100;12.08205003;7.005862938
feb-26;COLGATE-125;17.01869343;3.307688522
feb-26;COLGATE-150;83.67093162;12.03699802
feb-26;COLGATE-22;23.4134406;11.4864625
feb-26;COLGATE-50;33.52115209;13.29566459
feb-26;COLGATE-75;61.35572184;34.59700054
feb-26;FOSFORERA;35.81039384;30.46634869
feb-26;GILDAN;92.34672656;0.0
feb-26;HONDURAS FOS;78.85487802;16.3596447
feb-26;Kraft;0.0;0.0
feb-26;OLMECA;85.90176313;33.23260404
feb-26;Papesp;0.122555;0.0
feb-26;POLICOTE;47.35129208;13.5519156
feb-26;Spark;0.211547964;0.0
feb-26;Varios;0.0;0.0
feb-26;YA ESTA;55.58831969;14.49346127
feb-26;Couche;2.762188347;
mar-26;BAY-C16-23;37.55819463;2.403333333
mar-26;BAY-C16-25;9.5504381;2.403333333
mar-26;BAY-C16-29;1.80824896;2.403333333
mar-26;Bond;2.443154381;1.025244
mar-26;C10-25H;0.070469125;0.0
mar-26;C12-23.5;0.009275291;0.0
mar-26;C12-25;73.30215959;0.678437499
mar-26;C12-25.75;18.91560019;0.0
mar-26;C12-25H;0.011581448;0.0
mar-26;C12-30H;0.794320992;0.0
mar-26;C12-31;1.90143162;0.0
mar-26;C12-35.3;0.3112452;0.0
mar-26;C13.6-25;113.0639979;2.49
mar-26;C13.6-30;26.50359825;0.0
mar-26;C14-22;48.03862316;0.0
mar-26;C14-25;15.64663741;11.86379152
mar-26;C14-25.5;5.56024683;0.0
mar-26;C14-29;53.62834838;0.0
mar-26;C14-30H;0.238760813;0.0
mar-26;C16.3-25;108.52424;1.4
mar-26;C16.3-27;48.75041175;1.492867882
mar-26;C16.3-28.5;18.51021349;0.0
mar-26;C16.3-29;8.5131648;0.0
mar-26;C16.3-35.5;1.9161567;0.0
mar-26;C16-22;0.43469595;0.0
mar-26;C16-25;38.06056523;21.51776938
mar-26;C16-25H;0.07892542;0.0
mar-26;C16-27;14.5884787;0.0
mar-26;C16-29;42.83261369;0.401090284
mar-26;C16-35.5;0.4347189;0.0
mar-26;C16-39;0.592758648;0.0
mar-26;C18-23;44.44877436;0.0
mar-26;C18-25;0.507623763;24.11382664
mar-26;C18-25-COSC;12.0319927;7.681554289
mar-26;C18-29-COSC;29.35675841;0.0
mar-26;C19-24;10.51869067;0.0
mar-26;C19-25;1.8011775;9.078514504
mar-26;C19-34;0.21167664;0.0
mar-26;C20-25;1.642705709;3.218632755
mar-26;C20-29;5.92119593;0.0
mar-26;C20-30;0.343741248;0.0
mar-26;C21;0.0624078;0.0
mar-26;C22-25;1.87437249;0.0
mar-26;C24-23;0.552902;0.0
mar-26;C8-25H;0.11645138;0.0
mar-26;CMPC GC1;1.64574855;0.0
mar-26;CMPC RC;40.70577182;1.787330624
mar-26;COLGATE;0.632170256;0.0
mar-26;COLGATE-100;1.086588149;7.005862938
mar-26;COLGATE-125;8.96652512;4.961532783
mar-26;COLGATE-150;65.50955078;12.03699802
mar-26;COLGATE-22;14.54357124;11.06393292
mar-26;COLGATE-50;33.52115209;12.50966426
mar-26;COLGATE-75;61.35572184;24.17719844
mar-26;Couche;2.739866778;0.57155588
mar-26;GILDAN;90.60669818;0.0
mar-26;HONDURAS FOS;86.70112722;16.3596447
mar-26;Kraft;0.022575439;0.0
mar-26;OLMECA;63.9853697;33.23260404
mar-26;Papesp;0.0367665;0.0
mar-26;POLICOTE;22.00534088;13.5519156
mar-26;Spark;0.211547964;0.0
mar-26;Varios;0.01282062;0.0
mar-26;YA ESTA;60.5035274;14.49346127
abr-26;BAY-C16-23;36.17599788;0.0
abr-26;BAY-C16-25;9.5504381;0.0
abr-26;BAY-C16-29;0.5211248;0.475575148
abr-26;Bond;0.634230744;2.458807884
abr-26;C10-25H;0.055388732;0.0
abr-26;C12-23.5;0.009275291;0.0
abr-26;C12-25;84.77960155;25.65747175
abr-26;C12-25H;0.016544925;0.0
abr-26;C12-31;1.90143162;0.0
abr-26;C12-35.3;0.3112452;0.0
abr-26;C13.6-25;106.9613304;3.7891
abr-26;C13.6-30;25.80338883;4.1126
abr-26;C14-22;48.03862316;0.0
abr-26;C14-25;14.95363437;8.258356961
abr-26;C14-25.5;0.015013635;0.0
abr-26;C14-25H;0.007354824;0.0
abr-26;C14-29;47.57234978;0.0
abr-26;C16.3-25;102.9980636;2.572791667
abr-26;C16.3-27;1.582919441;19.82928571
abr-26;C16.3-28.5;16.83040354;1.1
abr-26;C16.3-35.5;0.840214035;2.0808
abr-26;C16-22;0.30151251;0.0
abr-26;C16-25;15.2722199;26.41131591
abr-26;C16-25H;1.15814475;0.0
abr-26;C16-27;14.5884787;0.0
abr-26;C16-29;42.47592401;0.328458682
abr-26;C16-35.5;0.4347189;0.0
abr-26;C16-39;0.592758648;0.0
abr-26;C18-23;41.00412628;0.0
abr-26;C18-25;0.557880063;58.30712811
abr-26;C18-29-COSC;3.456915362;0.0
abr-26;C19-24;9.904756416;0.0
abr-26;C19-25;1.0106279;16.01269463
abr-26;C19-34;0.21167664;6.661666667
abr-26;C20-25;0.354719334;0.3470656
abr-26;C20-30;0.343741248;0.0
abr-26;C21;0.0624078;0.0
abr-26;C22-25;0.679218162;0.0
abr-26;C24-23;0.552902;0.0
abr-26;C8-25H;0.117064282;0.0
abr-26;CMPC GC1;1.64574855;0.0
abr-26;CMPC RC;40.038898;1.787
abr-26;COLGATE;0.632170256;58.0
abr-26;COLGATE-100;1.086588149;7.0
abr-26;COLGATE-125;8.96652512;
abr-26;COLGATE-150;56.00219392;
abr-26;COLGATE-22;12.38347879;
abr-26;COLGATE-50;17.29442899;
abr-26;COLGATE-75;27.55501728;
abr-26;Couche;2.383565233;0.0
abr-26;FOSFORERA;44.07366623;30.39
abr-26;GILDAN;86.40174349;0.0
abr-26;HONDURAS FOS;86.70112722;15.90869744
abr-26;Kraft;0.022575439;13.50877473
abr-26;OLMECA;56.56090565;20.40675
abr-26;Papesp;0.0367665;0.0
abr-26;POLICOTE;11.02416075;12.18902937
abr-26;Spark;0.211547964;0.0
abr-26;Varios;0.01282062;0.0
abr-26;YA ESTA;60.5035274;14.489
abr-26;BIMBO;0.0;16.98583663
may-26;BAY-C16-23;27.26732792;0.0
may-26;BAY-C16-25;14.8499449;0.0
may-26;BAY-C16-29;9.70788784;0.0
may-26;BAYER-23;0.0;0.0
may-26;BAYER-25;0.0;0.0
may-26;BIMBO;38.50334397;16.98583663
may-26;Bond;0.231284856;1.087470827
may-26;C10-25H;0.055388732;0.0
may-26;C10-30H;0.0;0.0
may-26;C12-23.5;0.009275291;0.0
may-26;C12-25;46.44642887;11.5882909
may-26;C12-25.75;0.0;0.0
may-26;C12-25H;0.010092404;0.0
may-26;C12-27;0.0;0.0
may-26;C12-29;0.0;0.0
may-26;C12-30;0.016645128;0.0
may-26;C12-30H;0.0;0.0
may-26;C12-31;1.65985848;0.0
may-26;C12-35.3;0.3112452;0.0
may-26;C13.6-25;70.3147438;0.5125
may-26;C13.6-30;17.13809247;2.0563
may-26;C14-22;48.03862316;0.0
may-26;C14-24;0.0;0.0
may-26;C14-25;12.74895882;11.0986598
may-26;C14-25.5;0.015013635;0.0
may-26;C14-25H;0.179236688;0.0
may-26;C14-26;0.0;0.0
may-26;C14-29;41.88544493;6.2739
may-26;C14-30;0.0;0.0
may-26;C14-30H;0.0;0.0
may-26;C14-37;0.0;0.0
may-26;C16.3-25;57.496329;4.045746343
may-26;C16.3-27;1.664977646;5.516823077
may-26;C16.3-28.5;13.86434235;0.0
may-26;C16.3-29;0.0;0.0
may-26;C16.3-35.5;0.840214035;0.0
may-26;C16-22;0.30151251;0.0
may-26;C16-25;15.2722199;16.08142046
may-26;C16-25H;0.81499075;0.0
may-26;C16-27;13.5533302;0.0
may-26;C16-29;33.69406223;3.327083513
may-26;C16-30;0.376257312;0.0
may-26;C16-30H;0.0;0.0
may-26;C16-35.5;0.4347189;0.0
may-26;C16-36;0.0;0.0
may-26;C16-39;0.592758648;0.0
may-26;C18-23;39.53762052;0.0
may-26;C18-25;0.45508545;46.25766344
may-26;C18-25-COSC;0.0;0.0
may-26;C18-25H;0.0;0.0
may-26;C18-29;0.0;0.0
may-26;C18-29-COSC;0.30606136;0.0
may-26;C18-30;0.79935324;0.0
may-26;C18-30H;0.0;0.0
may-26;C18-34;0.0;0.0
may-26;C19-24;3.457643175;0.0
may-26;C19-25;0.70058915;19.42206986
may-26;C19-29;0.0;0.0
may-26;C19-34;0.20033682;0.0
may-26;C19-35;0.0;0.0
may-26;C20-25;0.371864334;7.695839271
may-26;C20-29;0.0;0.0
may-26;C20-30;0.343741248;0.0
may-26;C21;0.0624078;0.0
may-26;C22-25;0.699241617;0.0
may-26;C22-30;0.0;0.0
may-26;C22-34;0.0;0.0
may-26;C24-23;0.552902;0.0
may-26;C8-25H;0.117040025;0.0
may-26;CMPC GC1;1.5296769;0.0
may-26;CMPC RC;33.76543772;15.22606667
may-26;COLGATE;0.0;58.10690284
may-26;COLGATE-100;1.08593001;0.0
may-26;COLGATE-125;8.96652512;0.0
may-26;COLGATE-150;55.96216881;0.0
may-26;COLGATE-22;5.540639351;0.0
may-26;COLGATE-50;8.16800304;0.0
may-26;COLGATE-75;16.8069735;0.0
may-26;Couche;3.202965552;9.475566685
may-26;FOSFORERA;48.31161293;30.39430824
may-26;GILDAN;81.71549573;0.0
may-26;HONDURAS FOS;86.57034117;15.90869744
may-26;Kraft;0.0;10.18296564
may-26;OLMECA;90.70559503;20.40675
may-26;Papesp;0.0;0.0
may-26;POLICOTE;11.02416075;12.18902937
may-26;Spark;1.185896155;9.531657146
may-26;Varios;0.012802398;0.0
may-26;YA ESTA;47.94815096;14.489
jun-26;BAY-C16-23;17.410689;0.0
jun-26;BAY-C16-25;14.849944;0.0
jun-26;BAY-C16-29;9.707887;0.0
jun-26;BAYER-23;0.0;0.0
jun-26;BAYER-25;0.0;0.0
jun-26;BIMBO;43.082523;16.98583663
jun-26;Bond;9.983168;2.591088759
jun-26;C10-25H;0.055388;0.0
jun-26;C10-30H;0.017806;0.0
jun-26;C12-23.5;0.009275;0.0
jun-26;C12-25;44.311395;10.2987902
jun-26;C12-25.75;0.0;0.0
jun-26;C12-25H;0.004301;0.0
jun-26;C12-27;0.0;0.0
jun-26;C12-29;0.0;0.0
jun-26;C12-30;0.0;0.0
jun-26;C12-30H;0.0;0.0
jun-26;C12-31;1.659858;0.0
jun-26;C12-35.3;0.0;0.0
jun-26;C13.6-25;51.098986;3.9209
jun-26;C13.6-30;9.759353;4.1126
jun-26;C14-22;48.038623;0.0
jun-26;C14-24;0.0;0.0
jun-26;C14-25;11.216053;10.12882514
jun-26;C14-25.5;0.015013;0.0
jun-26;C14-25H;2.49093;0.0
jun-26;C14-26;0.0;0.0
jun-26;C14-29;37.289744;1.2097
jun-26;C14-30;0.0;0.0
jun-26;C14-30H;0.0;0.0
jun-26;C14-37;0.0;0.0
jun-26;C16.3-25;51.091871;0.689
jun-26;C16.3-27;0.418496;0.0694
jun-26;C16.3-28.5;13.310882;0.0
jun-26;C16.3-29;0.0;0.0
jun-26;C16.3-35.5;0.840214;1.3514
jun-26;C16-22;0.301512;0.0
jun-26;C16-25;15.272218;25.94206152
jun-26;C16-25H;0.159995;0.0
jun-26;C16-27;13.299324;0.0
jun-26;C16-29;2.942479;3.284745495
jun-26;C16-30;0.0;0.0
jun-26;C16-30H;0.0;0.0
jun-26;C16-35.5;0.434718;0.0
jun-26;C16-36;0.0;0.0
jun-26;C16-39;0.592758;0.0
jun-26;C18-23;34.273304;0.0
jun-26;C18-25;3.672765;18.40701178
jun-26;C18-25-COSC;0.0;0.0
jun-26;C18-25H;0.0;0.0
jun-26;C18-29;0.0;0.0
jun-26;C18-29-COSC;0.206249;0.0
jun-26;C18-30;2.828568;0.0
jun-26;C18-30H;0.0;0.0
jun-26;C18-34;0.0;0.0
jun-26;C19-24;2.144054;0.0
jun-26;C19-25;0.0;0.0
jun-26;C19-29;0.0;0.0
jun-26;C19-34;0.200336;0.0
jun-26;C19-35;0.0;0.0
jun-26;C20-25;3.259565;2.637526983
jun-26;C20-29;0.0;0.0
jun-26;C20-30;1.576641;0.0
jun-26;C21;0.062407;0.0
jun-26;C22-25;0.263495;0.8162
jun-26;C22-30;0.0;0.0
jun-26;C22-34;0.0;0.0
jun-26;C24-23;0.552902;0.0
jun-26;C8-25H;0.091977;0.0
jun-26;CMPC GC1;1.529676;0.0
jun-26;CMPC RC;30.225392;0.0
jun-26;COLGATE;0.0;57.94102951
jun-26;COLGATE-100;28.802857;0.0
jun-26;COLGATE-125;0.539808;0.0
jun-26;COLGATE-150;49.422986;0.0
jun-26;COLGATE-22;5.540639;0.0
jun-26;COLGATE-50;17.890378;0.0
jun-26;COLGATE-75;8.788774;0.0
jun-26;Couche;3.420606;0.0
jun-26;FOSFORERA;56.045119;30.39430824
jun-26;GILDAN;67.354975;0.0
jun-26;HONDURAS FOS;86.570341;15.90869744
jun-26;Kraft;0.0;10.18296564
jun-26;OLMECA;65.146572;20.40675
jun-26;Papesp;0.085788;0.0
jun-26;POLICOTE;12.550577;12.18902937
jun-26;Spark;1.884704;1.778649915
jun-26;Varios;0.222869;0.0
jun-26;YA ESTA;35.410038;14.489
jul-26;BAY-C16-23;11.972934;0.0
jul-26;BAY-C16-25;12.186656;0.0
jul-26;BAY-C16-29;6.261071;0.0
jul-26;BAYER-23;0.0;0.0
jul-26;BAYER-25;0.0;0.0
jul-26;BIMBO;41.304539;9.09
jul-26;Bond;0.759173;0.0
jul-26;C10-25H;0.055388;0.0
jul-26;C10-30H;0.017806;0.0
jul-26;C12-23.5;0.009275;0.0
jul-26;C12-25;20.076412;16.75
jul-26;C12-25.75;0.0;0.0
jul-26;C12-25H;0.004301;0.0
jul-26;C12-27;0.0;3.48
