#;Número de artículo;Descripción;Fecha de contabilización;Documento;Cantidad;Cantidad;Unidad de meINGRESOSda;Tonelada;Clasificación;Procedencia
PAPEL;100600023;Papel Couche Brillante - 1 Cara - B-60 -- 90 gramos  25 x 38;9/10/2025;INGRESOS;3000;3000;PLIEGOS;0.16544925;Couche;LOCAL
PAPEL;100600026;Papel Couche Brillante B-70 -- 105 gramos  25 x 36;15/10/2025;INGRESOS;6750;6750;PLIEGOS;0.411351413;Couche;LOCAL
PAPEL;100600026;Papel Couche Brillante B-70 -- 105 gramos  25 x 36;21/10/2025;INGRESOS;-6750;6750;PLIEGOS;-0.411351413;Couche;LOCAL
PAPEL;100600026;Papel Couche Brillante B-70 -- 105 gramos  25 x 36;21/10/2025;INGRESOS;6750;6750;PLIEGOS;0.411351413;Couche;LOCAL
PAPEL;100600026;Papel Couche Brillante B-70 -- 105 gramos  25 x 36;23/10/2025;INGRESOS;63500;63500;PLIEGOS;3.869750325;Couche;LOCAL
PAPEL;100600026;Papel Couche Brillante B-70 -- 105 gramos  25 x 36;24/10/2025;INGRESOS;5250;5250;PLIEGOS;0.319939988;Couche;LOCAL
PAPEL;100600029;Papel Couche Brillante B-80 -- 115 gramos  25 x 36;24/10/2025;INGRESOS;1750;1750;PLIEGOS;0.116803488;Couche;LOCAL
PAPEL;100600030;Papel Couche Brillante B-80 -- 115 gramos  30 x40;1/10/2025;INGRESOS;8250;8250;PLIEGOS;0.581370281;Couche;LOCAL
PAPEL;100600030;Papel Couche Brillante B-80 -- 115 gramos  30 x40;7/10/2025;INGRESOS;500;500;PLIEGOS;0.035234563;Couche;LOCAL
PAPEL;100600032;Papel Couche Brillante B-100 -- 140 gramos  25 x 36;7/10/2025;INGRESOS;7000;7000;PLIEGOS;0.5687822;Couche;LOCAL
PAPEL;100600032;Papel Couche Brillante B-100 -- 140 gramos  25 x 36;21/10/2025;INGRESOS;11000;11000;PLIEGOS;0.8938006;Couche;LOCAL
PAPEL;100600032;Papel Couche Brillante B-100 -- 140 gramos  25 x 36;21/10/2025;INGRESOS;7500;7500;PLIEGOS;0.6094095;Couche;LOCAL
PAPEL;100600032;Papel Couche Brillante B-100 -- 140 gramos  25 x 36;23/10/2025;INGRESOS;3250;3250;PLIEGOS;0.26407745;Couche;LOCAL
PAPEL;100600032;Papel Couche Brillante B-100 -- 140 gramos  25 x 36;24/10/2025;INGRESOS;6000;6000;PLIEGOS;0.4875276;Couche;LOCAL
PAPEL;100600033;Papel Couche Brillante B-100 -- 140 gramos  25 x 38;1/10/2025;INGRESOS;3500;3500;PLIEGOS;0.30025975;Couche;LOCAL
PAPEL;100600033;Papel Couche Brillante B-100 -- 140 gramos  25 x 38;7/10/2025;INGRESOS;7000;7000;PLIEGOS;0.6005195;Couche;LOCAL
PAPEL;100600033;Papel Couche Brillante B-100 -- 140 gramos  25 x 38;10/10/2025;INGRESOS;6750;6750;PLIEGOS;0.579072375;Couche;LOCAL
PAPEL;100600033;Papel Couche Brillante B-100 -- 140 gramos  25 x 38;21/10/2025;INGRESOS;500;500;PLIEGOS;0.04289425;Couche;LOCAL
PAPEL;100600034;Papel Couche Brillante B-100 -- 140 gramos  30 x 40;1/10/2025;INGRESOS;500;500;PLIEGOS;0.05419344;Couche;LOCAL
PAPEL;100600034;Papel Couche Brillante B-100 -- 140 gramos  30 x 40;7/10/2025;INGRESOS;1000;1000;PLIEGOS;0.10838688;Couche;LOCAL
PAPEL;100600043;Papel Bond 75 gramos -- 26 x 38;10/10/2025;INGRESOS;500;500;PLIEGOS;0.023903178;Bond;LOCAL
PAPEL;100600045;Papel Couche Brillante B-80 -- 115 gramos  30 x 40;1/10/2025;INGRESOS;7500;7500;PLIEGOS;0.6677406;Couche;LOCAL
PAPEL;100600045;Papel Couche Brillante B-80 -- 115 gramos  30 x 40;7/10/2025;INGRESOS;7750;7750;PLIEGOS;0.68999862;Couche;LOCAL
PAPEL;100600045;Papel Couche Brillante B-80 -- 115 gramos  30 x 40;10/10/2025;INGRESOS;4750;4750;PLIEGOS;0.42290238;Couche;LOCAL
PAPEL;100600045;Papel Couche Brillante B-80 -- 115 gramos  30 x 40;24/10/2025;INGRESOS;4500;4500;PLIEGOS;0.40064436;Couche;LOCAL
PAPEL;100600093;Cartulina Husky C-8 -- 200 gramos 25 x 38;10/10/2025;INGRESOS;800;800;PLIEGOS;0.098044;C8-25H;LOCAL
PAPEL;100600149;113 Sundance Cover FELT -- 176 gramos 26 x 40;21/10/2025;INGRESOS;1000;1000;PLIEGOS;0.11801856;Varios;IMPORTACION
PAPEL;100600154;Papel Bond 75 gramos -- 26 x 34;15/10/2025;INGRESOS;219900;219900;PLIEGOS;9.406026349;Bond;LOCAL
PAPEL;100600154;Papel Bond 75 gramos -- 26 x 34;21/10/2025;INGRESOS;-219900;219900;PLIEGOS;-9.406026349;Bond;LOCAL
PAPEL;100600154;Papel Bond 75 gramos -- 26 x 34;21/10/2025;INGRESOS;220000;220000;PLIEGOS;9.41030376;Bond;LOCAL
CARTULINA;100300001;Cartulina Husky -- C-8 200 gramos 25 x 36;27/10/2025;CONSUMOS;-1000;1000;hoja(s);0.116078;C8-25H;LOCAL
CARTULINA;100300004;Cartulina Husky -- C-10 230 gramos 25 x 36;10/10/2025;CONSUMOS;-15200;15200;hoja(s);2.02904344;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;7/10/2025;CONSUMOS;-800;800;hoja(s);0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;7/10/2025;CONSUMOS;800;800;hoja(s);-0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;7/10/2025;CONSUMOS;-800;800;hoja(s);0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;7/10/2025;CONSUMOS;800;800;hoja(s);-0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;22/10/2025;CONSUMOS;-18400;18400;hoja(s);2.5932638;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;22/10/2025;CONSUMOS;-4700;4700;hoja(s);0.662409775;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;22/10/2025;CONSUMOS;-900;900;hoja(s);0.126844425;C10-25H;LOCAL
CARTULINA;100300006;Cartulina Husky -- C-10 230 gramos 30 x 40;10/10/2025;CONSUMOS;-600;600;hoja(s);0.106838496;C10-30H;LOCAL
CARTULINA;100300006;Cartulina Husky -- C-10 230 gramos 30 x 40;10/10/2025;CONSUMOS;-1800;1800;hoja(s);0.320515488;C10-30H;LOCAL
CARTULINA;100300007;Cartulina Husky -- C-12 270 gramos 25 x 41.5 (29-89);22/10/2025;CONSUMOS;-35750;35750;hoja(s);6.460321725;C12-25H;LOCAL
CARTULINA;100300007;Cartulina Husky -- C-12 270 gramos 25 x 41.5 (29-89);30/10/2025;CONSUMOS;-600;600;hoja(s);0.10842498;C12-25H;LOCAL
CARTULINA;100300007;Cartulina Husky -- C-12 270 gramos 25 x 41.5 (29-89);30/10/2025;CONSUMOS;-3000;3000;hoja(s);0.5421249;C12-25H;LOCAL
CARTULINA;100300007;Cartulina Husky -- C-12 270 gramos 25 x 41.5 (29-89);30/10/2025;CONSUMOS;-100;100;hoja(s);0.01807083;C12-25H;LOCAL
CARTULINA;100300007;Cartulina Husky -- C-12 270 gramos 25 x 41.5 (29-89);30/10/2025;CONSUMOS;-1050;1050;hoja(s);0.189743715;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;7/10/2025;CONSUMOS;-500;500;hoja(s);0.07835265;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;7/10/2025;CONSUMOS;500;500;hoja(s);-0.07835265;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;10/10/2025;CONSUMOS;-500;500;hoja(s);0.07835265;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;27/10/2025;CONSUMOS;-1100;1100;hoja(s);0.17237583;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;27/10/2025;CONSUMOS;-400;400;hoja(s);0.06268212;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;27/10/2025;CONSUMOS;-300;300;hoja(s);0.04701159;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;7/10/2025;CONSUMOS;-1000;1000;hoja(s);0.16544925;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;7/10/2025;CONSUMOS;1000;1000;hoja(s);-0.16544925;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;10/10/2025;CONSUMOS;-800;800;hoja(s);0.1323594;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;10/10/2025;CONSUMOS;-1100;1100;hoja(s);0.181994175;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;27/10/2025;CONSUMOS;-350;350;hoja(s);0.057907238;C12-25H;LOCAL
CARTULINA;100300010;Cartulina Husky -- C-12 270 gramos 30 x 40;22/10/2025;CONSUMOS;-600;600;hoja(s);0.125419104;C12-30H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;10/10/2025;CONSUMOS;-900;900;hoja(s);0.16544925;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;15/10/2025;CONSUMOS;-6000;6000;hoja(s);1.102995;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;15/10/2025;CONSUMOS;-5400;5400;hoja(s);0.9926955;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;16/10/2025;CONSUMOS;-2100;2100;hoja(s);0.38604825;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;22/10/2025;CONSUMOS;-12900;12900;hoja(s);2.37143925;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;22/10/2025;CONSUMOS;-100;100;hoja(s);0.01838325;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;27/10/2025;CONSUMOS;-500;500;hoja(s);0.09191625;C14-25H;LOCAL
CARTULINA;100300012;Cartulina Husky -- C-14 300 gramos 30 x 40;27/10/2025;CONSUMOS;-1000;1000;hoja(s);0.2322576;C14-30H;LOCAL
CARTULINA;100300012;Cartulina Husky -- C-14 300 gramos 30 x 40;27/10/2025;CONSUMOS;-1700;1700;hoja(s);0.39483792;C14-30H;LOCAL
CARTULINA;100300013;Cartulina Husky -- C-16 350 gramos 25 x 38;10/10/2025;CONSUMOS;-70;70;hoja(s);0.015012988;C16-25H;LOCAL
CARTULINA;100300013;Cartulina Husky -- C-16 350 gramos 25 x 38;27/10/2025;CONSUMOS;-4300;4300;hoja(s);0.922226375;C16-25H;LOCAL
CARTULINA;100300013;Cartulina Husky -- C-16 350 gramos 25 x 38;27/10/2025;CONSUMOS;-400;400;hoja(s);0.0857885;C16-25H;LOCAL
CARTULINA;100300013;Cartulina Husky -- C-16 350 gramos 25 x 38;27/10/2025;CONSUMOS;-100;100;hoja(s);0.021447125;C16-25H;LOCAL
CARTULINA;100300013;Cartulina Husky -- C-16 350 gramos 25 x 38;30/10/2025;CONSUMOS;-1174;1174;hoja(s);0.251789248;C16-25H;LOCAL
CARTULINA;100300296;Cartulina FBB Zenith LOCAL -- C-14 235 gramos 25 x 36;15/10/2025;CONSUMOS;-1800;1800;hoja(s);0.24550497;C14-25;LOCAL
CARTULINA;100300298;Cartulina FBB Zenith LOCAL -- C-14 235 gramos 25 x 38;22/10/2025;CONSUMOS;-10600;10600;hoja(s);1.526422525;C14-25;LOCAL
CARTULINA;100300301;Cartulina CMPC RC -- C-16 245 gramos 39.5 x 25 YA ESTA;15/10/2025;CONSUMOS;-2485;2485;hoja(s);0.387763687;YA ESTA;IMPORTACION
CARTULINA;100300301;Cartulina CMPC RC -- C-16 245 gramos 39.5 x 25 YA ESTA;16/10/2025;CONSUMOS;-665;665;hoja(s);0.103767747;YA ESTA;IMPORTACION
CARTULINA;100300558;Cartulina FBB Poplar -- C-16 255 gramos 25 x 38;27/10/2025;CONSUMOS;-900;900;hoja(s);0.140631863;C16-25;IMPORTACION
CARTULINA;100300704;Cartulina FBB Zenith LOCAL -- C-16 270 gramos 25 x 36;30/10/2025;CONSUMOS;-9300;9300;hoja(s);1.45735929;C16-25;LOCAL
CARTULINA;100300704;Cartulina FBB Zenith LOCAL -- C-16 270 gramos 25 x 36;30/10/2025;CONSUMOS;-5700;5700;hoja(s);0.89322021;C16-25;LOCAL
CARTULINA;100300996;Cartulina FBB Zenith LOCAL -- C-18 295 gramos 25 x 36;11/10/2025;CONSUMOS;-4600;4600;hoja(s);0.78758923;C18-25;LOCAL
CARTULINA;100300996;Cartulina FBB Zenith LOCAL -- C-18 295 gramos 25 x 36;11/10/2025;CONSUMOS;4600;4600;hoja(s);-0.78758923;C18-25;LOCAL
CARTULINA;100300996;Cartulina FBB Zenith LOCAL -- C-18 295 gramos 25 x 36;15/10/2025;CONSUMOS;-2100;2100;hoja(s);0.359551605;C18-25;LOCAL
CARTULINA;100300996;Cartulina FBB Zenith LOCAL -- C-18 295 gramos 25 x 36;22/10/2025;CONSUMOS;-4600;4600;hoja(s);0.78758923;C18-25;LOCAL
CARTULINA;100301343;Cartulina FBB Zenith LOCAL -- C-22 360 gramos 25 x 38;15/10/2025;CONSUMOS;-100;100;hoja(s);0.0220599;C22-25;LOCAL
CARTULINA;100301353;Rollo Cartulina CMPC RC C-17 255 g ancho 30;9/10/2025;CONSUMOS;-1586;1586;METROS;0.30817566;CMPC RC;IMPORTACION
CARTULINA;100301353;Rollo Cartulina CMPC RC C-17 255 g ancho 30;28/10/2025;CONSUMOS;-43363;43363;METROS;8.42586453;CMPC RC;IMPORTACION
CARTULINA;100301354;Rollo Cartulina CMPC RC -C - 17 255 g ancho 23.5;28/10/2025;CONSUMOS;-31909;31909;METROS;4.75188828;CMPC RC;IMPORTACION
CARTULINA;100301357;Rollo Cartulina ASIA SYMBOL C-18 295 g ancho 25;14/10/2025;CONSUMOS;-1298;1298;METROS;0.24314785;C18-25;IMPORTACION
CARTULINA;100301394;Cartulina FBB Asia Symbol -- C-16 270 gramos  25 x 38;15/10/2025;CONSUMOS;-230;230;PLIEGOS;0.038053328;C16-25;IMPORTACION
CARTULINA;100301824;Rollo Cartulina ASIA SYMBOL C-14 235 g ancho 25;6/10/2025;CONSUMOS;-780;780;METROS;0.1163955;C14-25;IMPORTACION
CARTULINA;100301824;Rollo Cartulina ASIA SYMBOL C-14 235 g ancho 25;9/10/2025;CONSUMOS;-1412;1412;METROS;0.2107057;C14-25;IMPORTACION
